分類番号1	分類番号2	食品名カテ1	食品名カテ2	食品名カテ3	食品名カテ4	食品名カテ5	食品名カテ6	食品名カテ7	食品名カテ8	英語表記
69		農産食品								AGRICULTURAL PRODUCTS 
69	1		米穀							Rice 
69	11			もみ						Unhulled rice 
69	111				国内産普通もみ					Domestic unhulled rice 
69	1111					水稲うるちもみ				Lowland nonglutinous unhulled rice 
69	1112					水稲もちもみ				Lowland glutinous unhulled rice 
69	1113					陸稲うるちもみ				Upland nonglutinous unhulled rice 
69	1114					陸稲もちもみ				Upland glutinous unhulled rice 
69	112				外国産普通もみ					Foreign unhulled rice 
69	1121					うるちもみ				Nonglutinous unhulled rice 
69	1122					もちもみ				Glutinous unhulled rice 
69	12			玄米						Broken rice 
69	121				国内産玄米					Domestic brown rice 
69	1211					水稲うるち玄米				Lowland nonglutinous brown rice 
69	1212					水稲もち玄米				Lowland glutinous brown rice 
69	1213					陸稲うるち玄米				Upland nonglutinous brown rice 
69	1214					陸稲もち玄米				Upland glutinous brown rice 
69	1215					醸造用玄米				Brown rice for brewing 
69	122				外国産玄米					Foreign brown rice 
69	1221					うるち玄米				Nonglutinous brown rice 
69	1222					もち玄米				Glutinous brown rice 
69	123				くず玄米					Other brown rice 
69	13			精米						Polished rice 
69	131				国内産精米					Domestic polished rice 
69	1311					水稲うるち精米				Lowland nonglutinous polished rice 
69	1312					水稲もち精米				Lowland glutinous polished rice 
69	1313					陸稲うるち精米				Upland nonglutinous polished rice. 
69	1314					陸稲もち精米				Upland glutinous polished rice 
69	132				外国産精米					Foreign polished rice 
69	1321					うるち精米				Nonglutinous polished rice 
69	1322					もち精米				Glutinous polished rice 
69	133				砕精米					Broken rice 
69	1331					国内産砕精米				Domestic broken rice 
69	13311						砕うるち精米			Nonglutinous broken rice 
69	13312						砕もち精米			Glutinous broken rice 
69	13319						その他の砕精米			Other broken rice 
69	1332					外国産砕精米				Foreign broken rice 
69	13321						砕うるち精米			Nonglutinous broken rice 
69	13322						砕もち精米			Glutinous broken rice 
69	13329						その他の砕精米			Other broken rice 
69	2		麦類							Wheat and barley 
69	21			大麦						Barley 
69	211				国内産大麦					Domestic barley 
69	2111					普通小粒大麦				Ordinary six-rowed barley 
69	2112					普通大粒大麦				Ordinary two-rowed barley 
69	2113					ビール大麦				Barley for brewery 
69	212				外国産大麦					Imported barley. 
69	2121					普通大麦				Ordinary barley 
69	2122					ビール大麦				Barley for brewery 
69	22			はだか麦						Naked barley 
69	23			小麦						Wheat 
69	231				国内産小麦					Domestic wheat 
69	2311					普通小麦				Ordinary wheat 
69	2312					強力小麦				Strong wheat 
69	232				外国産小麦					Imported wheat 
69	2321					普通小麦				Ordinary wheat 
69	2322					準強力小麦				Semistrong wheat 
69	2323					強力小麦				Strong wheat 
69	2324					デュラム小麦				Durum wheat 
69	24			ライ麦						Rye 
69	25			えん麦						Oats 
69	251				裸えん麦					Naked oats 
69	252				普通えん麦					Bright oats 
69	253				草えん麦					Green oats 
69	26			精麦						Processed barley 
69	261				普通精麦					Ordinary processed barley 
69	2611					押麦				Pressed barley 
69	2612					切断圧ぺん				Split pressed barley 
69	2613					切断無圧ぺん				Split pearled barley 
69	2614					精白麦				Pearled barley 
69	262				強化精麦					Processed barley added vitamin 
69	2621					切断圧ぺん				Split pressed barley added vitamin 
69	2629					その他の強化精麦				Other processed barley added vitamin 
69	263				ばん砕麦					Feed barley meal 
69	264				圧ぺん麦					Pressed feed barley 
69	3		雑穀							Miscellaneous grains 
69	31			とうもろこし（未成熟を除く。）						Maize (corn)(except immature) 
69	311				デントコーン					Dent corn 
69	312				フリントコーン					Flint corn 
69	313				ポップコーン					Pop corn 
69	319				その他のとうもろこし（未成熟を除く。）					Other maize (corn) (except immature) 
69	32			あわ						Foxtail millet 
69	321				玄あわ					Husked foxtail millet 
69	3211					うるちあわ				Nonglutinous husked foxtail millet 
69	3212					もちあわ				Glutinous husked foxtail millet 
69	322				精あわ					Polished foxtail millet 
69	3221					うるちあわ				Nonglutinous polished foxtail millet 
69	3222					もちあわ				Glutinous polished foxtail millet 
69	33			ひえ						Barnyard millet 
69	331				玄ひえ					Husked barnyard millet 
69	3311					白ひえ				Husked barnyard millet (white) 
69	3312					赤ひえ				Husked barnyard millet (red) 
69	332				精ひえ					Polished barnyard millet 
69	34			そば						Buck wheat 
69	35			きび						Proso millet 
69	351				玄きび					Husked proso millet 
69	3511					うるちきび				Nonglutinous husked proso millet 
69	3512					もちきび				Glutinous husked proso millet 
69	352				精きび					Polished proso millet 
69	36			もろこし（砂糖もろこしを含む。）						Grain sorghum (including sugar grain) 
69	361				玄もろこし					Husked grain sorghum 
69	3611					うるちもろこし				Nonglutinous husked grain sorghum 
69	3612					もちもろこし				Glutinous husked grain sorghum 
69	362				玄こうりゃん					Husked koryan 
69	363				精もろこし（精こうりゃんを含む。）					Polished grain sorghum (including polished koryan) 
69	37			はとむぎ						"Job'stear, ""hatomugi"" "
69	39			その他の雑穀						Other grains 
69	4		豆類（種子用及び未成熟のものを除く。）							Pulses (except seed and immature pulses) 
69	41			大豆						Soybeans
69	411				国内産普通大豆					Domestic ordinary soybeans 
